date,time,latitude,longitude,year,month,day,wday,hour,coords_lat,coords_long
2011-08-29,18:56:58,42.3916233333333,-88.0891633333333,2011,8,29,0,18,5219824.44217084,-9806040.806672169
2011-08-29,18:57:08,42.3913483333333,-88.0891633333333,2011,8,29,0,18,5219782.9925322365,-9806040.806672169
2011-08-29,18:57:18,42.3910216666667,-88.0891566666667,2011,8,29,0,18,5219733.755621782,-9806040.064542238
2011-08-29,18:57:28,42.3906366666667,-88.0891583333333,2011,8,29,0,18,5219675.72673485,-9806040.250074714
2011-08-29,18:57:38,42.390409999999996,-88.0888583333333,2011,8,29,0,18,5219641.562708136,-9806006.854227476
2011-08-29,18:57:48,42.390395,-88.08831500000001,2011,8,29,0,18,5219639.301857776,-9805946.370637482
2011-08-29,18:57:58,42.3906733333333,-88.0880016666667,2011,8,29,0,18,5219681.253280164,-9805911.490530372
2011-08-29,18:58:08,42.391026666666704,-88.0880016666667,2011,8,29,0,18,5219734.50924603,-9805911.490530372
2011-08-29,18:58:18,42.391403333333294,-88.0880033333333,2011,8,29,0,18,5219791.282445426,-9805911.676062848
2011-08-29,18:58:28,42.391718333333294,-88.08799499999999,2011,8,29,0,18,5219838.7611791035,-9805910.748400427
2011-08-29,18:58:38,42.392038333333296,-88.0879883333333,2011,8,29,0,18,5219886.993787456,-9805910.006270485
2011-08-29,18:58:48,42.39241,-88.0880783333333,2011,8,29,0,18,5219943.0142610455,-9805920.025024658
2011-08-29,18:58:58,42.3928,-88.0883316666667,2011,8,29,0,18,5220001.798433061,-9805948.225962333
2011-08-29,18:59:08,42.3932566666667,-88.08837,2011,8,29,0,18,5220070.631645775,-9805952.493209476
2011-08-29,18:59:18,42.3936,-88.0882316666667,2011,8,29,0,18,5220122.382493174,-9805937.094013253
2011-08-29,19:00:08,42.3932033333333,-88.0884166666667,2011,8,29,0,19,5220062.59270458,-9805957.68811905
2011-08-29,19:00:18,42.3927916666667,-88.0883116666667,2011,8,29,0,19,5220000.542357195,-9805945.999572515
2011-08-29,19:00:28,42.3924766666667,-88.08821,2011,8,29,0,19,5219953.06281158,-9805934.68209095
2011-08-29,19:00:38,42.392385,-88.08869666666669,2011,8,29,0,19,5219939.246057346,-9805988.85757647
2011-08-29,19:00:48,42.392098333333294,-88.0891133333333,2011,8,29,0,19,5219896.037428897,-9806035.24069763
2011-08-29,19:00:58,42.392179999999996,-88.0894983333333,2011,8,29,0,19,5219908.346843649,-9806078.098701583
2011-08-29,19:01:08,42.3924283333333,-88.08979000000001,2011,8,29,0,19,5219945.77761137,-9806110.566886403
2011-08-29,19:01:18,42.3927216666667,-88.09004166666669,2011,8,29,0,19,5219989.991326466,-9806138.582291588
2011-08-29,19:01:28,42.3929583333333,-88.0903,2011,8,29,0,19,5220025.663906289,-9806167.339826707
2011-08-29,19:01:38,42.392990000000005,-88.09089499999999,2011,8,29,0,19,5220030.437008164,-9806233.574923728
2011-08-29,19:01:48,42.393001666666706,-88.0916116666667,2011,8,29,0,19,5220032.195519992,-9806313.353892133
2011-08-29,19:01:58,42.3930083333333,-88.09201,2011,8,29,0,19,5220033.200384027,-9806357.696155963
2011-08-29,19:02:08,42.39302,-88.0925483333333,2011,8,29,0,19,5220034.958896367,-9806417.623148503
2011-08-29,19:02:18,42.39310333333329,-88.0931816666667,2011,8,29,0,19,5220047.519708274,-9806488.12549268
2011-08-29,19:02:28,42.3931183333333,-88.0937366666667,2011,8,29,0,19,5220049.780656189,-9806549.90781007
2011-08-29,19:02:38,42.393423333333295,-88.09389499999999,2011,8,29,0,19,5220095.7533809915,-9806567.533396106
2011-08-29,19:02:48,42.3937433333333,-88.094075,2011,8,29,0,19,5220143.987299636,-9806587.570904452
2011-08-29,19:02:58,42.394104999999996,-88.09425,2011,8,29,0,19,5220198.501972493,-9806607.05181534
2011-08-29,19:03:08,42.394478333333296,-88.0942233333333,2011,8,29,0,19,5220254.775512695,-9806604.083295584
2011-08-29,19:03:18,42.394859999999994,-88.0941983333333,2011,8,29,0,19,5220312.305504758,-9806601.300308311
2011-08-29,19:03:28,42.395084999999995,-88.094515,2011,8,29,0,19,5220346.220729505,-9806636.551480401
2011-08-29,19:03:38,42.395095,-88.0950266666667,2011,8,29,0,19,5220347.72807565,-9806693.509953193
2011-08-29,19:03:48,42.395078333333295,-88.09552,2011,8,29,0,19,5220345.215832204,-9806748.427568648
2011-08-29,19:03:58,42.395351666666706,-88.09577166666669,2011,8,29,0,19,5220386.416708886,-9806776.442973834
2011-08-29,19:04:08,42.3956966666667,-88.0958333333333,2011,8,29,0,19,5220438.42051063,-9806783.30767576
2011-08-29,19:04:18,42.3959833333333,-88.0957566666667,2011,8,29,0,19,5220481.6316164965,-9806774.773181474
2011-08-29,19:04:48,42.3952183333333,-88.095685,2011,8,29,0,19,5220366.31869784,-9806766.795284629
2011-08-29,19:04:58,42.3949316666667,-88.095555,2011,8,29,0,19,5220323.10811871,-9806752.323750826
2011-08-29,19:05:08,42.3946166666667,-88.0955966666667,2011,8,29,0,19,5220275.626954121,-9806756.962062946
2011-08-29,19:05:18,42.394290000000005,-88.0956,2011,8,29,0,19,5220226.387479597,-9806757.333127912
2011-08-29,19:05:28,42.3939566666667,-88.095485,2011,8,29,0,19,5220176.143382042,-9806744.53138647
2011-08-29,19:05:38,42.3936733333333,-88.0953716666667,2011,8,29,0,19,5220133.436108919,-9806731.915177517
2011-08-29,19:05:48,42.393331666666704,-88.0952216666667,2011,8,29,0,19,5220081.93641837,-9806715.217253897
2011-08-29,19:05:58,42.3930366666667,-88.0951433333333,2011,8,29,0,19,5220037.471057424,-9806706.497227112
2011-08-29,19:06:08,42.3926466666667,-88.0951383333333,2011,8,29,0,19,5219978.68666374,-9806705.940629657
2011-08-29,19:06:18,42.392348333333295,-88.09514,2011,8,29,0,19,5219933.719361302,-9806706.126162145
2011-08-29,19:06:28,42.392236666666705,-88.095455,2011,8,29,0,19,5219916.888079624,-9806741.191801747
2011-08-29,19:06:38,42.3922466666667,-88.09598000000001,2011,8,29,0,19,5219918.395357358,-9806799.634534413
2011-08-29,19:06:48,42.392463333333296,-88.096435,2011,8,29,0,19,5219951.05310061,-9806850.284902724
2011-08-29,19:06:58,42.392838333333295,-88.09644499999999,2011,8,29,0,19,5220007.576384211,-9806851.39809763
2011-08-29,19:07:08,42.39319333333329,-88.0964466666667,2011,8,29,0,19,5220061.085403867,-9806851.58363012
2011-08-29,19:07:18,42.393488333333295,-88.0962666666667,2011,8,29,0,19,5220105.55087581,-9806831.546121776
2011-08-29,19:07:28,42.393603333333296,-88.0959166666667,2011,8,29,0,19,5220122.88492997,-9806792.5843
2011-08-29,19:07:38,42.3936783333333,-88.0955933333333,2011,8,29,0,19,5220134.189765008,-9806756.590997968
